学校名称,学校ID号
北京工业大学,30
北京大学,31
内蒙古大学,32
大连海事大学,33
哈尔滨工业大学,34
云南大学,35
长安大学,36
西北大学,37
北京交通大学,38
北京外国语大学,39
中央音乐学院,40
河北工业大学,41
武汉大学,42
北京林业大学,43
湖南大学,44
中央民族大学,45
中国人民大学,46
北京航空航天大学,47
北京邮电大学,48
北京中医药大学,49
辽宁大学,50
西南交通大学,51
北京师范大学,52
对外经济贸易大学,53
河北大学,54
河北科技大学,55
河北经贸大学,56
西安电子科技大学,57
湖南师范大学,58
南开大学,59
天津大学,60
中国海洋大学,61
郑州大学,62
合肥工业大学,63
滨州医学院,64
德州学院,65
中国科学技术大学,66
安徽大学,67
安徽理工大学,68
安徽工业大学,69
安徽农业大学,70
济南大学,71
安徽医科大学,72
同济大学,73
新疆大学,74
上海交通大学医学院,75
上海大学,76
南京航空航天大学,77
天津医科大学,78
天津师范大学,79
天津工业大学,80
天津理工大学,81
天津科技大学,82
天津财经大学,84
天津商业大学,85
江南大学,86
天津外国语大学,87
中国民航大学,88
天津中医药大学,89
天津职业技术师范大学,90
天津城建大学,91
天津体育学院,92
天津农学院,93
天津音乐学院,94
天津美术学院,95
广西大学,96
兰州大学,97
华南师范大学,98
四川大学,99
四川农业大学,100
西南财经大学,101
厦门大学,102
福州大学,103
中山大学,104
华南理工大学,105
暨南大学,106
西北工业大学,107
南昌大学,108
东南大学,109
中国矿业大学,110
南京大学,111
南京理工大学,112
南京农业大学,113
浙江大学,114
南京师范大学,115
河海大学,116
中国药科大学,117
苏州大学,118
重庆大学,119
中国石油大学（华东）,120
中国地质大学（武汉）,121
吉林大学,122
中南大学,123
哈尔滨工程大学,124
上海交通大学,125
山东大学,126
华中科技大学,127
武汉理工大学,128
延边大学,129
上海财经大学,130
华东师范大学,131
复旦大学,132
华东理工大学,133
东北大学,134
东华大学,135
上海外国语大学,136
东北农业大学,137
大连理工大学,138
太原理工大学,139
清华大学,140
东北师范大学,142
北京理工大学,143
北京科技大学,144
南京工程学院,146
南京晓庄学院,147
常州工学院,148
南京艺术学院,149
江苏理工学院,150
南京审计大学,151
淮阴工学院,152
盐城师范学院,153
盐城工学院,154
常州大学,156
华东交通大学,157
徐州医科大学,158
杭州电子科技大学,159
南京邮电大学,160
江苏科技大学,161
南京中医药大学,162
苏州科技大学,163
南京财经大学,164
江西理工大学,165
南京信息工程大学,166
江苏师范大学,167
南京医科大学,168
南京林业大学,169
江苏大学,170
南京工业大学,171
江西农业大学,172
扬州大学,173
江西师范大学,174
江西财经大学,175
东华理工大学,176
南昌航空大学,177
重庆医科大学,178
重庆师范大学,179
西南政法大学,180
南京体育学院,182
景德镇陶瓷大学,183
重庆邮电大学,184
江西中医药大学,185
上饶师范学院,186
重庆理工大学,187
辽东学院,188
赣南师范大学,189
江西科技师范大学,190
长江师范学院,191
宜春学院,192
四川外国语大学,193
九江学院,194
赣南医科大学,195
四川美术学院,196
井冈山大学,197
重庆三峡学院,198
石河子大学,199
鲁迅美术学院,200
中国刑事警察学院,201
沈阳医学院,202
沈阳体育学院,203
鞍山师范学院,204
辽宁中医药大学,205
沈阳音乐学院,206
锦州医科大学,207
大连民族大学,208
沈阳航空航天大学,209
大连海洋大学,210
大连工业大学,211
沈阳建筑大学,212
辽宁工业大学,213
渤海大学,214
沈阳化工大学,215
大连外国语大学,216
沈阳理工大学,217
大连大学,218
大连医科大学,219
大连交通大学,220
沈阳师范大学,221
辽宁科技大学,222
辽宁石油化工大学,223
沈阳大学,224
辽宁师范大学,225
沈阳药科大学,226
沈阳工业大学,227
沈阳农业大学,228
东北财经大学,229
中国医科大学,230
西南民族大学,231
成都理工大学,232
新疆农业大学,233
新疆医科大学,234
新疆师范大学,235
喀什大学,236
新疆财经大学,237
新疆艺术学院,238
昌吉学院,239
宁波大学,240
浙江师范大学,241
浙江工业大学,242
浙江理工大学,243
嘉兴大学,244
西华大学,245
浙江科技大学,246
中国计量大学,247
浙江海洋大学,248
浙江农林大学,249
浙江中医药大学,250
温州医科大学,251
杭州师范大学,252
湖州师范学院,253
台州学院,254
绍兴文理学院,255
温州大学,256
浙江工商大学,257
浙江财经大学,258
中国美术学院,259
浙江万里学院,260
山西大学,262
西南科技大学,263
成都中医药大学,264
四川师范大学,265
西华师范大学,266
中国民用航空飞行学院,267
西南石油大学,268
山西农业大学,269
成都信息工程大学,270
山西医科大学,271
山西师范大学,272
四川轻化工大学,273
西南医科大学,274
山西财经大学,275
川北医学院,276
中北大学,277
太原科技大学,278
长治医学院,279
忻州师范学院,280
山西大同大学,281
太原师范学院,282
汕头大学,283
深圳大学,284
五邑大学,285
广东工业大学,286
华南农业大学,287
广东海洋大学,288
广州中医药大学,289
广东外语外贸大学,290
东莞理工学院,291
广东石油化工学院,292
广州大学,293
广东医科大学,294
广州医科大学,295
广东药科大学,296
韩山师范学院,297
韶关学院,298
岭南师范学院,299
惠州学院,300
嘉应学院,301
广东财经大学,302
广州体育学院,303
广州美术学院,304
星海音乐学院,305
佛山科学技术学院,306
上海理工大学,307
上海工程技术大学,308
上海海洋大学,309
上海中医药大学,310
上海师范大学,311
上海第二工业大学,312
上海海事大学,313
安徽师范大学,314
上海应用技术大学,315
